Código,Nombre_Estacion,Nombre,PM2.5,PM10,NO,NO2,NOx,Ozono,CO,SO2,Latitud,Longitud,P_SSR,PLiquida_SSR,TAire10_SSR,RGlobal_SSR,HAire10_SSR,VViento_SSR,DViento_SSR,PM10M,Vaisala,Automatica,Ruido,PM2.5M,BTEX,Nombre_Largo,Enumeracion,Municipio,Meteorologia
40,Parque de las Aguas,BAR-PDLA,0,0,0,0,0,1,0,0,6.4067135,-75.4194870,0,0,0,0,0,0,0,0,0,1,0,0,0,Parque de las Aguas,,Barbosa,1
37,U. San Buenaventura,BEL-USBV,0,1,0,0,0,1,0,0,6.3306971,-75.5686722,1,0,1,1,1,1,1,0,0,1,0,0,0,Universidad San Buenaventura,,Bello,1
31,Corp. Universitaria Lasallista,CAL-LASA,0,0,0,0,0,0,0,0,6.0990806,-75.6386261,0,0,0,0,0,0,0,0,0,1,0,0,0,Corporación Universitaria Lasallista,18,Caldas,1
47,Plaza de Mercado,CAL-PMER,0,0,0,0,0,0,0,0,6.093056,-75.635000,0,0,0,0,0,0,0,0,0,0,0,0,0,Plaza de Mercado,,Caldas,0
69,E U Joaquin Aristizabal,CAL-JOAR,1,0,0,0,0,0,0,0,6.0930777,-75.637764,0,0,0,0,0,0,0,1,0,1,0,0,0,Escuela Joaquín Aristizabal,5,Caldas,0
48,Estación Tráfico Sur,SUR-TRAF,1,1,1,1,1,0,0,0,6.1523128,-75.6274872,0,0,0,0,0,0,0,1,0,1,0,0,0,Estación Tráfico Sur,21,Sabaneta,1
11,I.E. Colombia,GIR-IECO,0,0,0,0,0,0,0,0,6.3785167,-75.4439850,0,0,0,0,0,0,0,0,0,1,0,0,0,Institución Educativa Colombia,,Girardota,0
3,SOS Aburrá Norte,GIR-SOSN,0,0,0,0,0,0,0,0,6.3790379,-75.4509125,0,0,0,0,0,0,0,0,0,0,0,0,0,SOS Aburrá Norte,1,Girardota,0
28,Casa de Justicia,ITA-CJUS,1,0,1,1,1,0,0,0,6.1856666,-75.5972061,1,0,1,1,1,1,1,0,0,1,0,0,0,Casa de Justicia de Itagüi,2,Itagüí,1
38,I.E. Concejo Municipal de Itagüí,ITA-CONC,1,1,0,0,0,1,0,0,6.1684971,-75.6443558,0,0,0,0,0,0,0,0,0,0,0,0,0,Institución Educativa Concejo de Itagüi,4,Itagüí,1
45,C. El Rosario,ITA-CRSV,0,0,0,0,0,0,0,0,6.1716304,-75.6069489,0,0,0,0,0,0,0,0,0,0,0,0,0,Colegio El Rosario Itagüi,,Itagüí,0
46,Exito San Antonio,MED-EXSA,0,1,0,0,0,0,0,0,6.2493334,-75.5702515,0,0,0,0,0,0,0,0,0,1,0,0,0,Exito San Antonio,,Medellín - Centro,0
44,Tanques La Ye EPM,MED-LAYE,1,0,0,0,0,1,0,0,6.1825418,-75.5506363,0,0,0,0,0,0,0,0,0,1,0,0,0,Tanques La Ye EPM,3,Medellín - El Poblado,1
12,Estación Tráfico Centro,CEN-TRAF,1,1,1,1,1,0,0,1,6.2525611,-75.5695801,0,0,0,0,0,0,0,0,0,1,1,0,1,Estación Tráfico Centro,19,Medellín - Centro,0
25,Universidad Nacional sede El Volador,MED-UNNV,0,0,0,0,0,0,0,0,6.2633696,-75.5770035,0,0,0,0,0,0,0,0,0,0,0,0,0,Universidad Nacional Nucleo El Volador,,Medellín - Centro occidente,0
43,Tanques Miraflores,MED-MIRA,0,0,0,0,0,1,0,0,6.2299724,-75.5491943,0,0,0,0,0,0,0,1,0,1,0,0,0,Tanques Miraflores EPM,,Medellín,1
6,Politécnico JIC,MED-PJIC,0,1,1,1,1,0,1,0,6.2089748,-75.5777664,0,0,0,0,0,0,0,1,0,1,0,1,0,Politécnico Jaime Isaza Cadavid,,Medellín,1
41,U. de Medellín,MED-UDEM,0,0,0,0,0,1,0,0,6.2301841,-75.6099625,0,0,0,0,0,0,0,0,0,1,0,0,0,Universidad de Medellín,,Medellín,1
51,H. San Vicente de Paul,BAR-HSVP,0,0,0,0,0,0,0,0,6.4391666667,-75.3363333333,0,0,0,0,0,0,0,1,0,0,0,0,0,Hospital San Vicente de Paul,,Barbosa,0
52,H. Santa Margarita,COP-HSMA,0,0,0,0,0,0,0,0,6.3527222222,-75.5082222222,0,0,0,0,0,0,0,1,0,0,0,0,0,Hospital Santa Margarita,,Copacabana,0
59,I.E. Santa Maria Goretti,EST-MAGO,0,0,0,0,0,0,0,0,6.1609166667,-75.645,0,0,0,0,0,0,0,1,0,0,0,0,0,Escuela Santa Maria Goretty,,La Estrella,0
7,PTAR San Fernando,ITA-PTAR,0,0,0,0,0,0,0,0,6.1936388889,-75.5915833333,0,0,0,0,0,0,0,1,0,0,0,0,0,PTAR San Fernando,,Itagüí,0
55,Corantioquia,MED-CORA,0,0,0,0,0,0,0,0,6.2525,-75.5860833333,0,0,0,0,0,0,0,1,0,0,0,0,0,Corantioquia,,Medellín,0
